#datatset_id	nb_loci	nb_spl	median_nb_nt	sum_nb_nt	median_nb_reads	sum_nb_reads	nb_jobs	exec_time
51bbd7d4ec190a10acae1042e728f539	24	1	73437776	146875552	617352	1234704	5	19.782354672749836
96d55eb019fd3cd3339498b5a8b4b65f	24	15	59428665	1154642118	591330	10453688	5	150.73454284270605
c96a43a22f54a8dd1ddcd54459ac8d37	24	1	45797850	91595700	455700	911400	5	15.436246271928152
1c34be1ec4e67f6589d7bb19b00ebff7	24	15	78046882	1255222646	672266	10614292	5	163.81977406740188
4895234fb2e2464cfdca973b3749649f	24	1	48822343	97644686	601074	1202148	5	14.088606584072114
99790e94cc66b2eb0622c533020ad1e6	24	1	91452544	182905088	383544	767088	15	16.70863720178604
99790e94cc66b2eb0622c533020ad1e6	24	1	91452544	182905088	383544	767088	30	15.36279963652293
99790e94cc66b2eb0622c533020ad1e6	24	1	91452544	182905088	383544	767088	50	15.708482869466145
a0fb123b265be94078420a723c9e1b27	24	1	56296731	112593462	243481	486962	15	10.120367217063905
a0fb123b265be94078420a723c9e1b27	24	1	56296731	112593462	243481	486962	30	9.36196399529775
a0fb123b265be94078420a723c9e1b27	24	1	56296731	112593462	243481	486962	50	8.479837914307913
a14a022d0edbf210bb3045a6a78e2791	24	1	89520876	179041752	388976	777952	15	14.783789185682933
a14a022d0edbf210bb3045a6a78e2791	24	1	89520876	179041752	388976	777952	30	14.592344013849894
a14a022d0edbf210bb3045a6a78e2791	24	1	89520876	179041752	388976	777952	50	14.816246656576793
53498a9ea6a08cea1d37ca9424e90072	24	15	97712041	1566122238	399661	6601138	15	66.81477278470993
53498a9ea6a08cea1d37ca9424e90072	24	15	97712041	1566122238	399661	6601138	30	32.68051257928212
53498a9ea6a08cea1d37ca9424e90072	24	15	97712041	1566122238	399661	6601138	50	24.940571387608845
9a51976ce68c58da9a15697f76fd8f37	24	15	86295557	1478542172	361321	6223972	15	63.93165120681127
9a51976ce68c58da9a15697f76fd8f37	24	15	86295557	1478542172	361321	6223972	30	34.03795427481334
9a51976ce68c58da9a15697f76fd8f37	24	15	86295557	1478542172	361321	6223972	50	26.317494026819865
2a059a1bad52178990ea17721b754d1a	24	15	109387557	1461131022	435807	6113222	15	62.83867098093033
2a059a1bad52178990ea17721b754d1a	24	15	109387557	1461131022	435807	6113222	30	31.400579277674357
2a059a1bad52178990ea17721b754d1a	24	15	109387557	1461131022	435807	6113222	50	22.647443409760793
bc538f979bce80532eed995e952a13b9	24	30	91480464	2669415434	364464	11277934	15	94.05804053942363
bc538f979bce80532eed995e952a13b9	24	30	91480464	2669415434	364464	11277934	30	52.841186281045275
bc538f979bce80532eed995e952a13b9	24	30	91480464	2669415434	364464	11277934	50	34.01958737770716
b59296d00852097ce44c6db92570ad81	24	30	77426004	2703377862	385204	11866188	15	94.66049496332805
b59296d00852097ce44c6db92570ad81	24	30	77426004	2703377862	385204	11866188	30	60.66892429590225
b59296d00852097ce44c6db92570ad81	24	30	77426004	2703377862	385204	11866188	50	35.91861715714137
103ed4e3f04b3953bb880bda666f9a0f	24	30	82728384	2619425684	383292	11246184	15	99.57387622992198
103ed4e3f04b3953bb880bda666f9a0f	24	30	82728384	2619425684	383292	11246184	30	57.344585196177164
103ed4e3f04b3953bb880bda666f9a0f	24	30	82728384	2619425684	383292	11246184	50	38.86915682156881
396b4109d23a68f0a007d13cc51adfe1	24	50	76731732	4348228340	346156	18701766	15	171.70896961688996
396b4109d23a68f0a007d13cc51adfe1	24	50	76731732	4348228340	346156	18701766	30	107.9855288942655
396b4109d23a68f0a007d13cc51adfe1	24	50	76731732	4348228340	346156	18701766	50	59.55311007897059
3e533f70c9bcc3cd43063a3dfe5a4702	24	50	89748564	4970708784	404332	21121372	15	191.6679084142049
3e533f70c9bcc3cd43063a3dfe5a4702	24	50	89748564	4970708784	404332	21121372	30	105.00685707728069
3e533f70c9bcc3cd43063a3dfe5a4702	24	50	89748564	4970708784	404332	21121372	50	82.11096138954163
f0b7ffdff63156786c36c77ccdf75f03	24	50	86885156	4720589794	369354	20098882	15	205.32095487912497
f0b7ffdff63156786c36c77ccdf75f03	24	50	86885156	4720589794	369354	20098882	30	105.80987863540649
f0b7ffdff63156786c36c77ccdf75f03	24	50	86885156	4720589794	369354	20098882	50	76.02198567390442

